filename,x_min,y_min,x_max,y_max
J02_day01_resx2.tiff,5626.448336631115,431.4901056454815,6153.551663368885,676.5098943545187
J02_day02_resx2.tiff,6035.216402652594,478.2400280912262,6468.783597347406,689.7599719087739
J02_day02_resx2.tiff,1750.0590346652525,267.87472144843633,2285.940965334748,428.1252785515639
J02_day03_resx2.tiff,1939.8799279946547,267.63616188273744,2656.1200720053457,504.36383811726245
J02_day03_resx2.tiff,6201.026766850693,268.5230465142507,7102.973233149305,603.4769534857492
J02_day04_resx2.tiff,5928.54022825923,253.1821942611299,6779.459771740769,542.8178057388704
J02_day04_resx2.tiff,2056.0398000761834,362.4432253531157,2699.9601999238166,633.5567746468844
J02_day05_resx2.tiff,6427.847777083048,332.7696215433116,7116.152222916952,607.2303784566885
J02_day05_resx2.tiff,4199.743933920019,2473.1004171434392,4548.256066079981,2738.89958285656
J02_day06_resx2.tiff,4209.586720508812,2476.0311887724906,4550.413279491188,2735.968811227509
J02_day07_resx2.tiff,3020.783653697904,2137.3737066697195,3287.216346302096,2382.6262933302805
J02_day07_resx2.tiff,3356.0923803251985,373.42009878042916,3543.9076196748015,438.57990121957073
J02_day07_resx2.tiff,1951.7805266331216,314.9697371571244,2220.2194733668784,397.03026284287546
J02_day11_resx2.tiff,2192.3771631256554,360.00479434910886,2875.6228368743446,651.9952056508912
J02_day11_resx2.tiff,6427.46590432486,325.5344422635929,6696.534095675141,410.46555773640733
J02_day12_resx2.tiff,2336.649486974174,416.664787595808,2979.350513025826,723.3352124041921
J02_day12_resx2.tiff,6490.039912362358,316.2117673079291,6761.960087637642,399.7882326920711
J02_day13_resx2.tiff,1452.8948610967554,1983.1197867935505,1483.1051389032448,2012.8802132064495
J02_day13_resx2.tiff,1319.4457628622101,1939.6967997129423,1368.55423713779,1988.3032002870575
J02_day13_resx2.tiff,6020.687088187193,290.4857914613359,6311.312911812808,373.51420853866387
J02_day14_resx2.tiff,6233.06938407673,325.59305158338987,6638.93061592327,462.4069484166103
J02_day14_resx2.tiff,4421.1950332721835,2698.1432814539935,4618.8049667278165,2829.8567185460065
J02_day14_resx2.tiff,3091.508354785423,2223.299916689985,3184.4916452145776,2308.7000833100155
J02_day15_resx2.tiff,2143.2980770920917,2428.183239676196,2428.701922907908,2655.8167603238044
J02_day15_resx2.tiff,3191.31830252124,2178.1468854114114,3400.6816974787594,2369.8531145885886
J02_day15_resx2.tiff,6275.664496414784,343.8022645905221,6624.335503585216,464.197735409478
J02_day16_resx2.tiff,5918.528933702821,289.01348257114876,6609.471066297179,530.9865174288512
J02_day16_resx2.tiff,1863.073683835981,2162.283233560752,2088.9263161640188,2369.716766439248
J02_day17_resx2.tiff,5954.4085806470775,239.14290730576116,6989.591419352923,616.8570926942391
J02_day17_resx2.tiff,2080.0904772489957,1928.454310043695,2443.909522751004,2279.545689956305
J02_day17_resx2.tiff,2802.6330807146987,2114.3680248508513,3033.3669192853013,2329.6319751491487
J02_day17_resx2.tiff,2319.095020508699,2458.533122292885,2496.904979491301,2601.466877707115
