filename,xmin,ymin,xmax,ymax
B01_day02_resx2.tiff,1236.7925406414242,1908.0991934154408,1281.207459358576,1997.9004065845595
B01_day12_resx2.tiff,1473.714207659832,2017.1943693457504,1596.285792340168,2192.8056306542494
B01_day14_resx2.tiff,4022.6602555438153,2524.15682072214,4187.339744456184,2665.8431792778606
B01_day18_resx2.tiff,3953.9920470568672,2530.1479857518784,4088.0079529431328,2663.852014248122
B01_day19_resx2.tiff,4155.767929010741,2526.0640535343955,4226.232070989259,2583.9359464656045
B01_day20_resx2.tiff,1756.2144456485398,2205.017669940523,1765.78555435146,2220.982330059477
B01_day24_resx2.tiff,4289.898722109576,2518.2319179693613,4412.101277890424,2727.7680820306387
B01_day28_resx2.tiff,3129.822090249678,2434.0861409600484,3172.1779097503218,2511.913859039951
B01_day28_resx2.tiff,3694.886137400832,2618.081723474918,3779.114262599168,2691.918276525082
B01_day29_resx2.tiff,4163.269427765805,2462.231917969362,4274.730572234195,2671.7680820306387
B01_day31_resx2.tiff,1565.9758301807349,1943.150094715318,1640.0241698192654,2078.8499052846823
B01_day31_resx2.tiff,3953.6002188626735,2637.106019643137,4120.399781137327,2732.893980356863
B01_day32_resx2.tiff,4066.058178768428,2639.0795147323524,4235.941821231571,2710.920485267648
B02_day01_resx2.tiff,4173.539490666921,2594.121480841094,4312.460509333078,2703.878519158906
B02_day01_resx2.tiff,1906.435948973128,2191.1943693457506,2095.564051026872,2366.8056306542494
B02_day01_resx2.tiff,2995.0471133269584,2484.2230829991004,3166.9528866730416,2685.7769170009
B02_day01_resx2.tiff,2053.4212198505843,1945.3180589294104,2228.5787801494157,2232.68194107059
B02_day01_resx2.tiff,2427.0182322004257,1983.25621413758,2562.9817677995743,2214.74378586242
B02_day01_resx2.tiff,2737.438446487238,2199.397573661762,2888.5615535127627,2558.6024263382374
B02_day02_resx2.tiff,4241.055377984378,2494.227500484231,4368.944622015622,2699.7724995157696
B02_day02_resx2.tiff,4874.460537953209,2425.159029464705,4987.539462046791,2568.840970535295
B02_day02_resx2.tiff,2130.833921145289,2527.176699405228,2227.166078854711,2686.8233005947723
B02_day02_resx2.tiff,2843.4007460771904,1910.4925495920727,3158.5992539228096,2355.507450407927
B02_day02_resx2.tiff,2330.3758772951,1932.558811869033,2619.6241227049004,2437.441188130967
B02_day02_resx2.tiff,1955.3246354956489,2381.1811168903587,2030.6753645043516,2544.8188831096413
B02_day03_resx2.tiff,4903.761097545304,2396.165655692401,5030.238902454696,2545.834344307599
B02_day03_resx2.tiff,4257.417453848443,2492.2363354544923,4360.582546151558,2705.763664545508
B02_day03_resx2.tiff,3170.631045474973,2600.108228385702,3327.368954525027,2697.891771614298
B02_day03_resx2.tiff,2703.326679309371,1883.631600594564,3382.673320690629,2454.3683994054363
B02_day03_resx2.tiff,6550.011056184003,2413.1811168903587,6795.988943815996,2576.8188831096413
B02_day04_resx2.tiff,4934.71715000887,2394.187743118054,5015.28284999113,2563.8122568819454
B02_day04_resx2.tiff,2084.7564842164693,1947.1369420390515,2225.2435157835307,2070.8630579609485
B02_day04_resx2.tiff,2444.0932595571808,2463.273884078103,2621.9067404428192,2710.726115921897
B02_day05_resx2.tiff,2509.875717227113,1878.943133075404,2776.124282772887,2731.0568669245963
B02_day06_resx2.tiff,2666.348554519562,1839.8569921153555,2975.6514454804374,2614.143007884645
B02_day06_resx2.tiff,2151.006987218565,1968.4483747407655,2454.993012781435,2373.5516252592342
B02_day07_resx2.tiff,1964.615817392087,2475.1546119795744,2053.3841826079133,2614.8453880204256
B02_day07_resx2.tiff,2263.1635399952856,2403.198786830881,2450.8364600047144,2582.8012131691185
B02_day07_resx2.tiff,1864.8296766885985,2247.2164567714044,2085.1703233114017,2442.783543228596
B02_day07_resx2.tiff,4207.415517386791,2584.130315811356,4302.584482613209,2701.869684188645
B02_day07_resx2.tiff,3391.0572438872528,2061.415243602285,3642.943156112747,2436.5847563977145
B02_day07_resx2.tiff,2761.3956742543733,1786.686859070348,3088.6043257456267,2407.313140929652
B02_day07_resx2.tiff,2316.885034288577,2004.4748796515496,2513.114965711423,2433.52512034845
B02_day08_resx2.tiff,2544.351080603294,1974.576481809556,2697.648919396706,2495.423518190444
B02_day08_resx2.tiff,1914.6789178300223,1855.7553300898733,2187.3210821699777,2538.2446699101265
B02_day08_resx2.tiff,2991.59063140507,1789.7907298383948,3238.40936859493,2504.209270161605
B02_day08_resx2.tiff,3495.858798000808,2125.3048064740183,3718.141441999192,2400.695193525982
B02_day08_resx2.tiff,4142.288120570036,2357.172281920097,4275.711879429964,2512.8277180799028
B02_day08_resx2.tiff,4911.286505256526,2373.273884078103,5018.713494743474,2620.726115921897
B02_day09_resx2.tiff,3835.9695941936952,2534.227500484231,4026.0304058063048,2739.7724995157696
B02_day09_resx2.tiff,4877.586301735317,2359.291554018626,5072.413698264683,2622.708445981374
B02_day09_resx2.tiff,2446.3881922988257,1664.1397111637195,3175.6118077011743,2693.86028883628
B02_day09_resx2.tiff,1797.6823921362038,1792.5896843753849,2204.317607863796,2325.4103156246147
B02_day10_resx2.tiff,2695.270150481494,1637.2474789464447,2802.729849518506,1860.7525210535557
B02_day10_resx2.tiff,4988.025486567269,2341.415243602285,5153.974513432731,2716.584756397715
B02_day10_resx2.tiff,2136.322009139307,1753.7995648086562,2341.6779908606936,2476.200435191344
B02_day10_resx2.tiff,4021.725775322103,2586.1921606031856,4096.274224677897,2759.807839396815
B02_day10_resx2.tiff,4432.737932126231,2389.4108261171546,4549.2620678737685,2760.589173882845
B02_day10_resx2.tiff,2749.1887523177547,1648.2943231432942,3616.811247682245,2817.705676856706
B02_day11_resx2.tiff,1955.5043116828483,1761.755389957349,2330.495688317152,2444.244610042651
B02_day11_resx2.tiff,1233.4206196341606,2527.295971503757,1396.5793803658394,2794.704028496243
B02_day11_resx2.tiff,4722.922673896816,2310.470462166419,5039.0773261031845,2735.529537833581
B02_day11_resx2.tiff,4072.2886799973344,2599.1413595241825,4189.711320002666,2726.858640475817
B02_day11_resx2.tiff,2656.4782949584605,1476.4268476972147,3745.52170504154,2765.5731523027853
B02_day11_resx2.tiff,6088.49332229874,2356.121480841094,6209.506677701261,2465.878519158906
B02_day12_resx2.tiff,2135.0324216699614,1713.0534704245454,2542.967578330039,2664.9465295754544
B02_day12_resx2.tiff,2854.3722285980084,1581.2788619453363,3811.627771401991,2736.7211380546632
B02_day12_resx2.tiff,4959.752173512366,2041.728885046565,5254.247826487634,2700.2711149534352
B02_day13_resx2.tiff,2174.760794577058,1662.8458486234026,2483.239205422942,2427.1541513765974
B02_day13_resx2.tiff,2831.4652716040573,1598.3473329648623,3758.534728395943,2815.6526670351377
B02_day14_resx2.tiff,2242.8309535482194,1706.7133240694818,2603.169046451781,2351.2866759305184
B02_day14_resx2.tiff,4360.368110062265,2419.278301563234,4529.631889937735,2670.7216984367665
B02_day14_resx2.tiff,2910.5707935919754,1453.4158039843885,3555.4292064080246,2732.584196015612
B02_day15_resx2.tiff,4305.294136298672,2411.269466592972,4520.705863701328,2654.7305334070275
B02_day15_resx2.tiff,2996.1561180361373,1226.2275004842309,3129.8438819638623,1431.7724995157691
B02_day15_resx2.tiff,2056.5839771521373,2363.145777009313,2173.4160228478627,2494.854222990687
B02_day15_resx2.tiff,5022.468266425398,2431.176699405228,5127.531733574601,2590.8233005947723
B02_day15_resx2.tiff,2999.7134228020686,1596.9298806200115,3630.2865771979314,2437.0701193799887
B02_day15_resx2.tiff,2331.643670355437,1794.6647317330442,2678.3563296445627,2395.335268266956
