filename,score,label,x1,y1,x2,y2
J06_day31_band0003_resx2.tiff,0.6869,1,2973.46875,1127.3377685546875,3108.658935546875,1408.2740478515625
K01_day15_band0003_resx2.tiff,0.8326,1,6278.423828125,1051.007568359375,6317.36474609375,1132.2261962890625
J05_day05_band0003_resx2.tiff,0.9639,1,6911.921875,2260.65087890625,7117.36865234375,2755.505615234375
J05_day05_band0003_resx2.tiff,0.7908,1,31.46471405029297,2254.124755859375,312.2076416015625,2826.155029296875
J05_day05_band0003_resx2.tiff,0.5199,1,3211.94482421875,2712.810546875,3570.876220703125,2921.82373046875
J05_day31_band0003_resx2.tiff,0.9056,1,1008.5128784179688,2839.424072265625,1239.942138671875,2959.048583984375
J05_day31_band0003_resx2.tiff,0.8193,1,6745.72314453125,2614.40771484375,6841.83544921875,2917.42138671875
K05_day06_band0003_resx2.tiff,0.9102,1,3922.821044921875,2698.7509765625,4036.07470703125,2843.66943359375
J04_day11_band0003_resx2.tiff,0.9786,1,3302.890869140625,2535.73828125,3466.52294921875,2743.1171875
J04_day11_band0003_resx2.tiff,0.9234,1,366.1693115234375,2681.841552734375,547.7657470703125,2875.653564453125
J04_day11_band0003_resx2.tiff,0.7003,1,868.9298706054688,2477.85546875,1111.81787109375,2863.673095703125
J04_day11_band0003_resx2.tiff,0.5749,1,4533.35107421875,2692.81591796875,4778.771484375,2969.93310546875
J04_day11_band0003_resx2.tiff,0.5673,1,316.8084411621094,2690.21044921875,481.4986267089844,2860.5693359375
J13_day12_band0003_resx2.tiff,0.9969,1,2854.450927734375,1261.3931884765625,3363.930419921875,2656.00341796875
K03_day31_band0003_resx2.tiff,0.9556,1,3700.177978515625,2436.598876953125,3918.532470703125,2753.2021484375
K03_day31_band0003_resx2.tiff,0.8895,1,1168.2061767578125,2424.43359375,1254.1390380859375,2598.82763671875
K03_day31_band0003_resx2.tiff,0.8124,1,2884.49755859375,1639.79443359375,3547.908935546875,2424.64892578125
K03_day31_band0003_resx2.tiff,0.7678,1,2808.296875,1608.06689453125,2999.865478515625,2388.035400390625
K03_day31_band0003_resx2.tiff,0.6493,1,2889.911865234375,1311.053955078125,2963.606689453125,1465.2044677734375
K03_day31_band0003_resx2.tiff,0.5169,1,5273.16845703125,2462.739501953125,5420.77880859375,2719.691650390625
J13_day06_band0003_resx2.tiff,0.9936,1,2921.634765625,1237.26513671875,3323.25146484375,2364.859619140625
J08_day32_band0003_resx2.tiff,0.7573,1,3775.53173828125,827.1089477539062,3932.000732421875,1067.439208984375
J11_day17_band0003_resx2.tiff,0.9911,1,2538.93017578125,720.256591796875,3033.21630859375,1204.12548828125
J11_day17_band0003_resx2.tiff,0.9579,1,7060.771484375,983.1439208984375,7114.423828125,1061.27783203125
J11_day17_band0003_resx2.tiff,0.8819,1,5375.484375,1182.6014404296875,5441.02197265625,1324.5865478515625
J11_day17_band0003_resx2.tiff,0.8664,1,231.27261352539062,1037.264404296875,333.76275634765625,1427.4967041015625
J11_day17_band0003_resx2.tiff,0.8472,1,6982.8818359375,1068.4073486328125,7100.5537109375,1408.8721923828125
J11_day17_band0003_resx2.tiff,0.7892,1,6976.37548828125,1097.988037109375,7056.8408203125,1255.9228515625
J11_day17_band0003_resx2.tiff,0.7562,1,7023.86767578125,842.0640869140625,7143.86962890625,971.5191040039062
J11_day17_band0003_resx2.tiff,0.7034,1,4220.173828125,783.1924438476562,4368.69384765625,938.5936279296875
J11_day17_band0003_resx2.tiff,0.5435,1,191.83056640625,1023.6171875,386.56005859375,1415.462890625
K03_day28_band0003_resx2.tiff,0.948,1,6501.10400390625,2105.70849609375,6705.30078125,2715.219482421875
K03_day28_band0003_resx2.tiff,0.9419,1,2.7895939350128174,2485.25244140625,176.28692626953125,2837.97021484375
K03_day28_band0003_resx2.tiff,0.9412,1,6382.6240234375,1041.330078125,6418.27490234375,1135.5291748046875
K03_day28_band0003_resx2.tiff,0.8884,1,5937.82177734375,2363.674560546875,6025.66064453125,2465.236572265625
K03_day28_band0003_resx2.tiff,0.8271,1,3312.475341796875,2547.2353515625,3489.549072265625,2765.77783203125
K03_day28_band0003_resx2.tiff,0.6919,1,1270.32568359375,2702.0751953125,1632.895263671875,2997.771484375
K03_day28_band0003_resx2.tiff,0.6293,1,3682.41455078125,2329.025390625,3946.066650390625,2849.3330078125
K03_day28_band0003_resx2.tiff,0.5757,1,4122.888671875,2405.1015625,4313.255859375,2707.54443359375
K03_day28_band0003_resx2.tiff,0.5145,1,3046.4658203125,1229.537353515625,3130.8818359375,1433.3602294921875
J04_day15_band0003_resx2.tiff,0.9279,1,5706.59033203125,2625.008056640625,5867.66650390625,2894.893798828125
J04_day15_band0003_resx2.tiff,0.9026,1,2560.233154296875,2327.66796875,2808.315673828125,3001.5185546875
J04_day15_band0003_resx2.tiff,0.7923,1,1201.399169921875,2678.2001953125,1459.827392578125,2848.722900390625
J04_day15_band0003_resx2.tiff,0.6725,1,5322.01171875,1858.3629150390625,5446.64208984375,2115.233642578125
J04_day15_band0003_resx2.tiff,0.665,1,8.422282218933105,2235.535888671875,232.64488220214844,2636.166015625
K03_day12_band0003_resx2.tiff,0.9056,1,4304.09619140625,2338.80419921875,4627.0166015625,2851.655517578125
K03_day12_band0003_resx2.tiff,0.8087,1,2614.972900390625,1964.17626953125,2787.94091796875,2521.5849609375
J11_day23_band0003_resx2.tiff,0.9069,1,336.53875732421875,1033.5255126953125,457.54217529296875,1143.281982421875
J11_day23_band0003_resx2.tiff,0.8864,1,6984.4755859375,1088.9666748046875,7138.39306640625,1418.85888671875
J11_day23_band0003_resx2.tiff,0.7307,1,2748.124267578125,1461.847412109375,2977.740966796875,1673.150146484375
K04_day06_band0003_resx2.tiff,0.9904,1,906.104736328125,2499.21142578125,1143.244873046875,2832.891357421875
K04_day06_band0003_resx2.tiff,0.9819,1,4083.203125,2370.43017578125,4394.021484375,2768.103515625
K04_day06_band0003_resx2.tiff,0.7022,1,604.3943481445312,989.8277587890625,751.8172607421875,1282.2576904296875
K04_day19_band0003_resx2.tiff,0.9607,1,0.0,2418.137451171875,431.155029296875,3023.863525390625
